time_ms,temp_C,tec_pwm,pump_pwm,mode
215564,22.44,64,128,STABILIZE
217564,22.56,64,128,STABILIZE
219564,22.87,64,128,STABILIZE
221564,23.12,64,128,STABILIZE
223564,23.25,64,128,STABILIZE
225564,23.44,64,128,STABILIZE
227564,23.5,64,128,STABILIZE
229564,23.56,64,128,STABILIZE
231564,23.62,64,128,STABILIZE
233564,23.69,64,128,STABILIZE
235564,23.75,64,128,STABILIZE
237564,23.75,64,128,STABILIZE
239564,23.75,64,128,STABILIZE
241564,23.75,64,128,STABILIZE
243564,23.75,64,128,STABILIZE
245564,23.75,64,128,STABILIZE
247564,23.75,64,128,STABILIZE
249564,23.75,64,128,STABILIZE
251564,23.75,64,128,STABILIZE
253564,23.75,64,128,STABILIZE
255564,23.69,64,128,STABILIZE
257564,23.69,64,128,STABILIZE
259564,23.69,64,128,STABILIZE
261564,23.69,64,128,STABILIZE
263564,23.69,64,128,STABILIZE
265564,23.69,64,128,STABILIZE
267564,23.62,64,128,STABILIZE
269564,23.62,64,128,STABILIZE
271564,23.62,64,128,STABILIZE
273564,23.62,64,128,STABILIZE
275564,23.56,64,128,STABILIZE
277564,23.56,64,128,STABILIZE
279564,23.56,64,128,STABILIZE
281564,23.56,64,128,STABILIZE
283564,23.56,64,128,STABILIZE
285564,23.56,64,128,STABILIZE
287564,23.5,64,128,STABILIZE
289564,23.5,64,128,STABILIZE
291564,23.5,64,128,STABILIZE
293564,23.5,64,128,STABILIZE
311544,23.44,64,128,STABILIZE
313544,23.44,64,128,STABILIZE
315544,23.44,64,128,STABILIZE
317544,23.44,64,128,STABILIZE
319544,23.44,64,128,STABILIZE
321544,23.44,64,128,STABILIZE
323544,23.44,64,75,PID
325544,23.44,64,75,PID
327544,23.44,64,75,PID
329544,23.37,64,75,PID
331544,23.37,64,75,PID
333544,23.37,64,75,PID
335544,23.37,64,75,PID
337544,23.37,64,75,PID
339544,23.31,64,75,PID
341544,23.31,64,75,PID
343544,23.31,64,75,PID
345544,23.31,64,75,PID
347544,23.31,64,75,PID
349544,23.25,64,75,PID
351544,23.25,64,75,PID
353544,23.25,64,75,PID
355544,23.25,64,75,PID
357544,23.25,64,75,PID
359544,23.25,64,75,PID
361544,23.19,64,75,PID
363544,23.19,64,75,PID
365544,23.19,64,75,PID
367544,23.19,64,75,PID
369544,23.12,64,75,PID
371544,23.12,64,75,PID
373544,23.12,64,75,PID
375544,23.12,64,75,PID
377544,23.12,64,75,PID
379544,23.12,64,75,PID
381544,23.06,64,75,PID
383544,23.06,64,75,PID
385544,23.06,64,75,PID
387544,23.06,64,75,PID
389544,23.0,64,75,PID
391544,23.0,64,75,PID
393544,23.0,64,75,PID
395544,23.0,64,75,PID
397544,23.0,64,75,PID
399544,23.0,64,75,PID
401544,22.94,64,75,PID
403544,22.94,64,75,PID
405544,22.94,64,75,PID
407544,22.94,64,75,PID
409544,22.87,64,75,PID
411544,22.87,64,75,PID
413544,22.87,64,75,PID
415544,22.87,64,75,PID
417544,22.87,64,75,PID
419544,22.87,64,75,PID
421544,22.81,64,75,PID
423544,22.81,64,75,PID
425544,22.81,64,75,PID
427544,22.81,64,75,PID
429544,22.81,64,75,PID
431544,22.81,64,75,PID
433544,22.75,64,75,PID
435544,22.75,64,75,PID
437544,22.75,64,75,PID
439544,22.75,64,75,PID
441544,22.75,64,75,PID
443544,22.69,64,75,PID
445544,22.69,64,75,PID
447544,22.69,64,75,PID
449544,22.69,64,75,PID
451544,22.69,64,75,PID
453544,22.62,64,75,PID
455544,22.62,64,75,PID
457544,22.62,64,75,PID
459544,22.62,64,75,PID
461544,22.62,64,75,PID
463544,22.62,64,75,PID
465544,22.56,64,75,PID
467544,22.56,64,75,PID
469544,22.56,64,75,PID
471544,22.56,64,75,PID
473544,22.56,64,75,PID
475544,22.56,64,75,PID
477544,22.5,64,75,PID
479544,22.5,64,75,PID
481544,22.5,64,75,PID
483544,22.5,64,75,PID
485544,22.5,64,75,PID
487544,22.44,64,75,PID
489544,22.44,64,75,PID
491544,22.44,64,75,PID
493544,22.44,64,75,PID
495544,22.44,64,75,PID
497544,22.44,64,75,PID
499544,22.37,64,75,PID
501544,22.37,64,75,PID
503544,22.37,64,75,PID
505544,22.37,64,75,PID
507544,22.37,64,75,PID
509544,22.31,64,75,PID
511544,22.31,64,75,PID
513544,22.31,64,75,PID
515544,22.31,64,75,PID
517544,22.31,64,75,PID
519544,22.31,64,75,PID
521544,22.25,64,75,PID
523544,22.25,64,75,PID
525544,22.25,64,75,PID
527544,22.25,64,75,PID
529544,22.25,64,75,PID
531544,22.25,64,75,PID
533544,22.19,64,75,PID
535544,22.19,64,75,PID
537544,22.19,64,75,PID
539544,22.19,64,75,PID
541544,22.19,64,75,PID
543544,22.12,64,75,PID
545544,22.12,64,75,PID
547544,22.12,64,75,PID
549544,22.12,64,75,PID
551544,22.12,64,75,PID
553544,22.12,64,75,PID
555544,22.12,64,75,PID
557544,22.12,64,75,PID
559544,22.06,64,75,PID
561544,22.06,64,75,PID
563544,22.06,64,75,PID
565544,22.06,64,75,PID
567544,22.06,64,75,PID
569544,22.0,64,75,PID
571544,22.0,64,75,PID
581525,22.0,64,128,STABILIZE
583525,22.0,64,128,STABILIZE
585525,22.0,64,128,STABILIZE
