time_ms,temp_C,tec_pwm,pump_pwm,mode,setpoint,created
7380000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:05.894213
7385000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:10.892501
7390000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:15.891637
7395000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:20.892850
7400000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:25.890357
7405000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:30.891725
7410000,19.25,64,180,MODE3,20.0,2026-06-04T10:48:35.890539
7415000,19.31,64,180,MODE3,20.0,2026-06-04T10:48:40.891064
7420000,19.25,64,180,MODE3,20.0,2026-06-04T10:48:45.889404
7425000,19.25,64,180,MODE3,20.0,2026-06-04T10:48:50.891412
7430000,19.25,64,180,MODE3,20.0,2026-06-04T10:48:55.890996
7435000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:00.892946
7440000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:05.890305
7445000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:10.891484
7450000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:15.890893
7455000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:20.888565
7460000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:25.889326
7465000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:30.891228
7470000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:35.888196
7475000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:40.889331
7480000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:45.888223
7485000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:50.888983
7490000,19.25,64,180,MODE3,20.0,2026-06-04T10:49:55.887583
7495000,19.25,64,180,MODE3,20.0,2026-06-04T10:50:00.891508
7500000,19.25,64,180,MODE3,20.0,2026-06-04T10:50:05.888527
7505000,19.25,64,180,MODE3,20.0,2026-06-04T10:50:10.886963
7510000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:15.888011
7515000,19.25,64,180,MODE3,20.0,2026-06-04T10:50:20.887616
7520000,19.25,64,180,MODE3,20.0,2026-06-04T10:50:25.886514
7525000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:30.887885
7530000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:35.886188
7535000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:40.887610
7540000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:45.886164
7545000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:50.887569
7550000,19.19,64,180,MODE3,20.0,2026-06-04T10:50:55.890159
7555000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:00.885798
7560000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:05.886715
7565000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:10.885618
7570000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:15.886252
7575000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:20.885012
7580000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:25.885803
7585000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:30.886172
7590000,19.19,64,180,MODE3,20.0,2026-06-04T10:51:35.884913
